Date,Open,High,Low,Volume,Close,Adj Close
1/27/16,192.380005,193.259995,185.770004,3617200,188.070007,188.070007
1/28/16,190.789993,191.279999,182.410004,4592800,189.699997,189.699997
1/29/16,189.949997,193.740005,188.080002,2852300,191.199997,191.199997
2/1/16,188.759995,199.520004,182.75,5297600,196.940002,196.940002
2/2/16,192.419998,193.119995,180.229996,5773600,182.779999,182.779999
2/3/16,183.589996,183.940002,170.179993,7931400,173.479996,173.479996
2/4/16,170.699997,175.979996,166.990005,4385400,175.330002,175.330002
2/5/16,171.300003,173,157.740005,9437600,162.600006,162.600006
2/8/16,157.100006,157.149994,146,9313000,147.990005,147.990005
2/9/16,142.320007,159.789993,141.050003,8651600,148.25,148.25
2/10/16,150.5,154.970001,141.740005,10406500,143.669998,143.669998
2/11/16,152,163.259995,147,14252400,150.470001,150.470001
2/12/16,155,157.009995,143.699997,7235800,151.039993,151.039993
2/16/16,158.699997,162.949997,154.110001,5593800,155.169998,155.169998
2/17/16,159,169.339996,156.679993,5825200,168.679993,168.679993
2/18/16,172.419998,172.949997,164.770004,3887600,166.770004,166.770004
